Course_Identification,Title_Long_Description,Course_Description
COMMB210,Writing Across Media Platforms,Students will learn practical skills to help them succeed in writing for specifically online news environments.  Emphasis is given to clear and effective communication and professional standards as well as the need to tailor the message to the audience and the platform through which it is communicated.
COMMB215,Introduction to Communication Technologies,"Introduction to the relationships among communication, technology, and society and investigates the role of technology in the ways we communicate, interact, and think about our world."
COMMB216,Digital Communication Technologies,(Prerequisite: COMM B140 or COMM B201) This course introduces students to digital communication technologies from both a theoretical and practical framework. Students will understand how to use communication technologies to advance communication strategies to multiple audiences. 
COMMB220,Communication and Popular Culture,"Explores the complex relationships of language, visual images, mediated communication, and cultural values."
COMMB225,Single Camera Production,"This course introduces students to the fundamentals of video production. Students will gain experience in pre-production, production, and post-production of short projects."
COMMB230,Organizational Communication,Fundamentals of oral communication within business and professional settings. Includes performance.
COMMB240,Media and Society,"An introduction to the history, evolution and cultural impact of traditional and digital platforms, enabling students to develop a critical perspective of media content."
COMMB250,Theories of Communication,Investigation of theories and concepts used to explain communication. Includes oral communication.
COMMB255,Communication Studies Research,An examination of the qualitative and quantitative methods employed in communication research. Includes oral presentation. 
COMMB300,Nonverbal Communication,Examination of the dynamics of nonverbal behavior through exploration of scholarly research and the application of practical theory to foster greater understanding of nonverbal messages across social contexts.
COMMB303,Communication Law,"An overview of the key areas of First Amendment law, and the important U.S. Supreme Court cases that have addressed the Constitution's guarantee of free speech and free press."
COMMB305,Television Studio Production I,"This course is devoted to learning the techniques of television studio production. Students will learn preproduction planning, script development, lighting design, audio design, the art of three studio-camera shooting, technical directing and studio television directing."
COMMB306,Media 2.0,This course explores the changing environment of tradiational production and distribution of media. Students will engage in the production and distribution of their work on the internet.
COMMB307,Documentary Theory & Aesthetics,"This course is a theoretical consideration of documentary filmmaking, covering the subgenres, conventions, evolution, social impact, and contemporary issues of the genre. Students will watch and critique films that represent a variety of approaches to the genre."
COMMB308,Persuasion & Social Influence,"An in-depth exploration of the art and science of persuasion and social influence. Topics of study include definitions and models of persuasion, individual communicator characteristics important in the complex process of persuation, conformity and influence in groups, persuasive language and nonverbal cues, principles of rhetoric and rhetorical devices, compliace-gaining communication, motivational appeals, deception, and the ethical dimensions of persuasion and social influence."
COMMB310,Inactive Fall 2015 - Theories of Human Communication,Investigation of theories and concepts used to explain human communication.  Includes oral presentation.
COMMB320,Inactive Fall 2015 - Communication Studies Research,An examination of the qualitative and quantitative methods employed in communication research. Includes oral presentation.
COMMB325,Advocacy and Opposition,Major focus on models of argument and how they are presented in various communication contexts.  Student debating included.
