CourseID,CourseNumber,Title,MinCreditHours,MaxCreditHours,CourseDescription,GradeType,Course_type,SubjectID
138,B423,Busi & Prac of Personal Train,3,NULL,"(Prerequisite: Grade of B or better in PUBH B323) The continuation of PUBH B323, this practical course surveys the skills and knowledge required for success in the field of personal training. Following National Academy of Sports Medicine guidelines, the kinesiology and physiology of human performance and the effective development of a personal training enterprise are investigated.",Standard Letter,Lecture,57
139,B345,Business Communications,3,NULL,"(Prerequisite: grade of  C  or better in ENGL B102) A study of effective methods of business communications including written, oral, electronic and organizational communication.",Standard Letter,Lecture,8
140,B379,Business Ethics,3,NULL,"(Prerequisite: Junior standing) A study of the values and ethics in business, business and government relations, corporate social performance and stakeholder responsibility. Social, economic, political, technological and ecological dimensions of the external environment will be integrated.",Standard Letter,Lecture,8
141,B363,Business Finance,3,NULL,"(Prerequisite: ACCT B226) The study of the procurement, management, and analysis of the financial wealth and resources of profit-seeking firms.",Standard Letter,Lecture,8
142,B396,Business Research Methods,3,NULL,"(Prerequisites: STAT B201 and MKTG B350) Focus is on the acquisition, use and evaluation of information from a manager s perspective. The course will include problem diagnosis, research design, questionnaire preparation, sampling plans and the collection, analysis and interpretation of data as an aid to effective and efficient managerial decisions.",Standard Letter,Lecture,8
143,B316,Business Spanish,3,NULL,"(Prerequisite: Placement at 300 level on Phase II placement exam, grade of  C  or better in SPAN B301 or SPAN B302, or consent of instructor. Department consent required for transfer students.) Commercial organizations and business in Spanish-speaking countries, business correspondence, terminology and techniques in commercial transactions. Taught in Spanish.",Standard Letter,Lecture,60
144,B463,Business Writing,NULL,NULL,NULL,NULL,NULL,26
145,B122,Calculus for Business Adm SSci,3,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B111 or consent) Derivatives and integrals of elementary algebraic, exponential and logarithmic functions. Maxima, minima, rate of change, and area under a curve. Applications include marginality and elasticity of demand. Offered every semester.",Standard Letter,Lecture,44
146,B122,Calculus for Business Adm SSci,NULL,NULL,NULL,NULL,NULL,45
147,B141,Calculus I,4,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B115) Introduction to fundamental concepts and theorems of limits, continuity, and derivatives; rates of change; differentiation rules for algebraic and transcendental functions, including the chain rule; applications of derivatives; introduction to integration, including the Fundamental Theorem of Calculus and u-substitution; areas between curves. Offered every semester.",Standard Letter,Lecture,44
148,B141,Calculus I,NULL,NULL,NULL,NULL,NULL,45
149,B142,Calculus II,4,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B141) Techniques of integration, applications of the integral, L Hospital s Rule, improper integrals; sequences and series of real numbers, power and Taylor series, introduction to polar coordinates. Offered every semester.",Standard Letter,Lecture,44
150,B142,Calculus II,NULL,NULL,NULL,NULL,NULL,45
151,B240,Calculus III,4,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B142) Parametric equations, polar coordinates, three dimensional analytic geometry, cylindrical and spherical coordinates, vector functions, functions of several variables, partial differentiation, max-min, Lagrange multipliers, multiple integrals and applications, integral vector calculus. Offered Spring semester.",Standard Letter,Lecture,44
152,B240,Calculus III,NULL,NULL,NULL,NULL,NULL,45
153,B650,Capstone: Literacy Coaching,3,NULL,"This course is the culmination of the M.Ed. program and focuses on bringing together all of the South Carolina Literacy Competencies for Reading Coaches (SCDE, 2015). Candidates discuss presentations by various literacy specialists and exemplary literacy coaches, evaluate a variety of literacy programs, materials, and assessments, and prepare a professional portfolio.",Standard Letter,Lecture,24
154,B441,Capstone: Prof Nurs Project,NULL,NULL,NULL,NULL,NULL,51
155,B326,Care of Adults with Acute & Ch,3,NULL,"(Prerequisite: NURS B202, B202C, B310 and B312) Nursing management of adult and older adult patients with acute and chronic conditions is introduced. Students will synthesize previous courses to link nursing concepts, physical examination and pharmacology as part of the care management plan. As disease processes by body system are examined in greater depth, students will study disease staging, complex therapeutics and technology usage, and anticipatory complications. Stigma, ethics, and discharge from one setting to another across the care continuum are presented as advanced challenges to intervention and outcome management.",Standard Letter,Lab / Clinical,51
156,B326,Care of Adults with Acute & Ch,3,NULL,"(Prerequisite: NURS B202, B202C, B310 and B312) Nursing management of adult and older adult patients with acute and chronic conditions is introduced. Students will synthesize previous courses to link nursing concepts, physical examination and pharmacology as part of the care management plan. As disease processes by body system are examined in greater depth, students will study disease staging, complex therapeutics and technology usage, and anticipatory complications. Stigma, ethics, and discharge from one setting to another across the care continuum are presented as advanced challenges to intervention and outcome management.",Standard Letter,Lecture,51
157,B326,Care of Adults with Acute & Ch,3,NULL,"(Prerequisite: NURS B202, B202C, B310 and B312) Nursing management of adult and older adult patients with acute and chronic conditions is introduced. Students will synthesize previous courses to link nursing concepts, physical examination and pharmacology as part of the care management plan. As disease processes by body system are examined in greater depth, students will study disease staging, complex therapeutics and technology usage, and anticipatory complications. Stigma, ethics, and discharge from one setting to another across the care continuum are presented as advanced challenges to intervention and outcome management.",Standard Letter,Lecture / Lab - Clinical,51
158,B356,Care of Childbearing Families,3,NULL,"(Prerequisite: NURS B320 and NURS B326; Corequisite: NURS B358) This course addresses the primary and preventive care provided to childbearing families. The needs of reproducing families to ensure safe pre-, intra-, and postnatal outcomes are addressed to ensure growth and functioning in the family unit. Male reproductive and female gynecological norms and abnormalities, along with complications of pregnancy, are contrasted. Psychosocial adaptations and special needs of the family unit are studied to manage grief and loss, palliative care and women s and men s reproductive health challenges.",Standard Letter,Lab / Clinical,51
159,B356,Care of Childbearing Families,3,NULL,"(Prerequisite: NURS B320 and NURS B326; Corequisite: NURS B358) This course addresses the primary and preventive care provided to childbearing families. The needs of reproducing families to ensure safe pre-, intra-, and postnatal outcomes are addressed to ensure growth and functioning in the family unit. Male reproductive and female gynecological norms and abnormalities, along with complications of pregnancy, are contrasted. Psychosocial adaptations and special needs of the family unit are studied to manage grief and loss, palliative care and women s and men s reproductive health challenges.",Standard Letter,Lecture,51
160,B356,Care of Childbearing Families,3,NULL,"(Prerequisite: NURS B320 and NURS B326; Corequisite: NURS B358) This course addresses the primary and preventive care provided to childbearing families. The needs of reproducing families to ensure safe pre-, intra-, and postnatal outcomes are addressed to ensure growth and functioning in the family unit. Male reproductive and female gynecological norms and abnormalities, along with complications of pregnancy, are contrasted. Psychosocial adaptations and special needs of the family unit are studied to manage grief and loss, palliative care and women s and men s reproductive health challenges.",Standard Letter,Lecture / Lab - Clinical,51
